Eclipse timings	&	Error	&	E	&	O-C	&	Reference
2458933.79744 	&	0.00009 	&	596.5	&	-0.00101661 	&	(12)
2458933.96301 	&	0.00014 	&	597	&	0.00115079 	&	(12)
2458934.12400 	&	0.00013 	&	597.5	&	-0.00126180 	&	(12)
2458934.28965 	&	0.00012 	&	598	&	0.00098560 	&	(12)
2458934.45108 	&	0.00011 	&	598.5	&	-0.00098699 	&	(12)
2458934.61659 	&	0.00014 	&	599	&	0.00112041 	&	(12)
2458934.77768 	&	0.00012 	&	599.5	&	-0.00119218 	&	(12)
2458934.94329 	&	0.00014 	&	600	&	0.00101522 	&	(12)
2458935.10468 	&	0.00012 	&	600.5	&	-0.00099738 	&	(12)
2458935.27016 	&	0.00013 	&	601	&	0.00108003 	&	(12)
2458935.43150 	&	0.00012 	&	601.5	&	-0.00098257 	&	(12)
2458935.59680 	&	0.00010 	&	602	&	0.00091484 	&	(12)
2458935.75835 	&	0.00011 	&	602.5	&	-0.00093776 	&	(12)
2458935.92377 	&	0.00011 	&	603	&	0.00107965 	&	(12)
2458936.08497 	&	0.00011 	&	603.5	&	-0.00112295 	&	(12)
2458936.25055 	&	0.00009 	&	604	&	0.00105445 	&	(12)
2458936.41199 	&	0.00010 	&	604.5	&	-0.00090814 	&	(12)
2458936.57746 	&	0.00013 	&	605	&	0.00115926 	&	(12)
2458936.73868 	&	0.00011 	&	605.5	&	-0.00102333 	&	(12)
2458936.90404 	&	0.00011 	&	606	&	0.00093407 	&	(12)
2458937.06569 	&	0.00011 	&	606.5	&	-0.00081852 	&	(12)
2458937.23068 	&	0.00010 	&	607	&	0.00076888 	&	(12)
2458937.39235 	&	0.00010 	&	607.5	&	-0.00096371 	&	(12)
2458937.55758 	&	0.00012 	&	608	&	0.00086369 	&	(12)
2458937.71928 	&	0.00013 	&	608.5	&	-0.00083891 	&	(12)
2458937.88453 	&	0.00013 	&	609	&	0.00100850 	&	(12)
2458938.04602 	&	0.00009 	&	609.5	&	-0.00090410 	&	(12)
2458938.21138 	&	0.00010 	&	610	&	0.00105331 	&	(12)
2458938.37291 	&	0.00015 	&	610.5	&	-0.00081929 	&	(12)
2458938.53817 	&	0.00010 	&	611	&	0.00103812 	&	(12)
2458938.69967 	&	0.00012 	&	611.5	&	-0.00086448 	&	(12)
2458938.86486 	&	0.00010 	&	612	&	0.00092292 	&	(12)
2458939.02658 	&	0.00011 	&	612.5	&	-0.00075967 	&	(12)
2458939.19195 	&	0.00009 	&	613	&	0.00120773 	&	(12)
2458939.35316 	&	0.00011 	&	613.5	&	-0.00098486 	&	(12)
2458939.51879 	&	0.00010 	&	614	&	0.00124254 	&	(12)
2458939.68024 	&	0.00011 	&	614.5	&	-0.00071005 	&	(12)
2458939.84562 	&	0.00011 	&	615	&	0.00126735 	&	(12)
2458940.00686 	&	0.00010 	&	615.5	&	-0.00089525 	&	(12)
2458940.17236 	&	0.00008 	&	616	&	0.00120216 	&	(12)
2458940.33376 	&	0.00010 	&	616.5	&	-0.00080044 	&	(12)
2458940.49938 	&	0.00014 	&	617	&	0.00141697 	&	(12)
2458940.66070 	&	0.00012 	&	617.5	&	-0.00066563 	&	(12)
2458940.82595 	&	0.00010 	&	618	&	0.00118178 	&	(12)
2458941.96805 	&	0.00011 	&	621.5	&	-0.00053639 	&	(12)
2458942.13317 	&	0.00011 	&	622	&	0.00118101 	&	(12)
2458942.29485 	&	0.00014 	&	622.5	&	-0.00054158 	&	(12)
2458942.45979 	&	0.00014 	&	623	&	0.00099582 	&	(12)
2458942.62164 	&	0.00011 	&	623.5	&	-0.00055678 	&	(12)
2458942.78668 	&	0.00012 	&	624	&	0.00108063 	&	(12)
2458942.94877 	&	0.00012 	&	624.5	&	-0.00023197 	&	(12)
2458943.11359 	&	0.00011 	&	625	&	0.00118544 	&	(12)
2458943.27538 	&	0.00013 	&	625.5	&	-0.00042716 	&	(12)
2458943.44031 	&	0.00011 	&	626	&	0.00110025 	&	(12)
2458943.60219 	&	0.00011 	&	626.5	&	-0.00042235 	&	(12)
2458943.76735 	&	0.00009 	&	627	&	0.00133505 	&	(12)
